,Year,Age category,Single Year of Age,UNIT,VALUE,Age Group
9957,2017,086,86,Number,10632,65 and over
9960,2017,087,87,Number,9261,65 and over
9963,2017,088,88,Number,7830,65 and over
9966,2017,089,89,Number,6644,65 and over
9969,2017,090,90,Number,5331,65 and over
9972,2017,091,91,Number,4352,65 and over
9975,2017,092,92,Number,3522,65 and over
9978,2017,093,93,Number,2781,65 and over
9981,2017,094,94,Number,2171,65 and over
9984,2017,095,95,Number,1392,65 and over
9987,2017,096,96,Number,785,65 and over
9990,2017,097,97,Number,732,65 and over
9993,2017,098,98,Number,637,65 and over
9996,2017,646,99,Number,1060,65 and over
10002,2018,200,0,Number,61719,0-14 years old
10005,2018,001,1,Number,63885,0-14 years old
10008,2018,002,2,Number,63066,0-14 years old
10011,2018,003,3,Number,64488,0-14 years old
10014,2018,004,4,Number,66883,0-14 years old
10017,2018,005,5,Number,68946,0-14 years old
10020,2018,006,6,Number,71561,0-14 years old
10023,2018,007,7,Number,73081,0-14 years old
10026,2018,008,8,Number,73180,0-14 years old
10029,2018,009,9,Number,72855,0-14 years old
10032,2018,010,10,Number,72085,0-14 years old
10035,2018,011,11,Number,67626,0-14 years old
10038,2018,012,12,Number,65404,0-14 years old
10041,2018,013,13,Number,64768,0-14 years old
10044,2018,014,14,Number,64883,0-14 years old
10047,2018,015,15,Number,64590,15-24 years old
10050,2018,016,16,Number,64410,15-24 years old
10053,2018,017,17,Number,63025,15-24 years old
10056,2018,018,18,Number,62931,15-24 years old
10059,2018,019,19,Number,63133,15-24 years old
10062,2018,020,20,Number,62867,15-24 years old
10065,2018,021,21,Number,59299,15-24 years old
10068,2018,022,22,Number,57507,15-24 years old
10071,2018,023,23,Number,55975,15-24 years old
10074,2018,024,24,Number,55515,15-24 years old
10077,2018,025,25,Number,55332,25-44 years old
10080,2018,026,26,Number,56818,25-44 years old
10083,2018,027,27,Number,59564,25-44 years old
10086,2018,028,28,Number,58408,25-44 years old
10089,2018,029,29,Number,63268,25-44 years old
10092,2018,030,30,Number,61237,25-44 years old
10095,2018,031,31,Number,64321,25-44 years old
10098,2018,032,32,Number,69444,25-44 years old
10101,2018,033,33,Number,69707,25-44 years old
10104,2018,034,34,Number,72992,25-44 years old
10107,2018,035,35,Number,76821,25-44 years old
10110,2018,036,36,Number,78768,25-44 years old
10113,2018,037,37,Number,82426,25-44 years old
10116,2018,038,38,Number,84253,25-44 years old
10119,2018,039,39,Number,78365,25-44 years old
10122,2018,040,40,Number,75684,25-44 years old
10125,2018,041,41,Number,74060,25-44 years old
10128,2018,042,42,Number,74760,25-44 years old
10131,2018,043,43,Number,73577,25-44 years old
10134,2018,044,44,Number,72963,25-44 years old
10137,2018,045,45,Number,72203,45-64 years old
10140,2018,046,46,Number,70006,45-64 years old
10143,2018,047,47,Number,70336,45-64 years old
10146,2018,048,48,Number,67136,45-64 years old
10149,2018,049,49,Number,63802,45-64 years old
10152,2018,050,50,Number,63061,45-64 years old
10155,2018,051,51,Number,61808,45-64 years old
10158,2018,052,52,Number,61922,45-64 years old
10161,2018,053,53,Number,61700,45-64 years old
10164,2018,054,54,Number,60141,45-64 years old
10167,2018,055,55,Number,58737,45-64 years old
10170,2018,056,56,Number,56850,45-64 years old
10173,2018,057,57,Number,57018,45-64 years old
10176,2018,058,58,Number,54684,45-64 years old
10179,2018,059,59,Number,54285,45-64 years old
10182,2018,060,60,Number,52106,45-64 years old
10185,2018,061,61,Number,50793,45-64 years old
10188,2018,062,62,Number,49499,45-64 years old
10191,2018,063,63,Number,48895,45-64 years old
10194,2018,064,64,Number,47037,45-64 years old
10197,2018,065,65,Number,46774,65 and over
10200,2018,066,66,Number,44679,65 and over
10203,2018,067,67,Number,42848,65 and over
10206,2018,068,68,Number,42367,65 and over
10209,2018,069,69,Number,41129,65 and over
10212,2018,070,70,Number,39950,65 and over
10215,2018,071,71,Number,38242,65 and over
10218,2018,072,72,Number,36294,65 and over
10221,2018,073,73,Number,33259,65 and over
10224,2018,074,74,Number,31035,65 and over
10227,2018,075,75,Number,28717,65 and over
10230,2018,076,76,Number,25423,65 and over
10233,2018,077,77,Number,23596,65 and over
10236,2018,078,78,Number,22931,65 and over
10239,2018,079,79,Number,21901,65 and over
10242,2018,080,80,Number,19686,65 and over
10245,2018,081,81,Number,18301,65 and over
10248,2018,082,82,Number,17118,65 and over
10251,2018,083,83,Number,15847,65 and over
10254,2018,084,84,Number,14530,65 and over
10257,2018,085,85,Number,12440,65 and over
10260,2018,086,86,Number,10794,65 and over
10263,2018,087,87,Number,9543,65 and over
10266,2018,088,88,Number,8364,65 and over
10269,2018,089,89,Number,7059,65 and over
10272,2018,090,90,Number,5441,65 and over
10275,2018,091,91,Number,4319,65 and over
10278,2018,092,92,Number,3568,65 and over
10281,2018,093,93,Number,2877,65 and over
10284,2018,094,94,Number,2287,65 and over
10287,2018,095,95,Number,1485,65 and over
10290,2018,096,96,Number,806,65 and over
10293,2018,097,97,Number,761,65 and over
10296,2018,098,98,Number,858,65 and over
10299,2018,646,99,Number,1198,65 and over
10305,2019,200,0,Number,60402,0-14 years old
10308,2019,001,1,Number,62110,0-14 years old
10311,2019,002,2,Number,64382,0-14 years old
10314,2019,003,3,Number,63338,0-14 years old
10317,2019,004,4,Number,64764,0-14 years old
10320,2019,005,5,Number,67609,0-14 years old
10323,2019,006,6,Number,69303,0-14 years old
10326,2019,007,7,Number,71967,0-14 years old
10329,2019,008,8,Number,73442,0-14 years old
10332,2019,009,9,Number,73563,0-14 years old
10335,2019,010,10,Number,73271,0-14 years old
10338,2019,011,11,Number,72427,0-14 years old
10341,2019,012,12,Number,68046,0-14 years old
10344,2019,013,13,Number,65818,0-14 years old
10347,2019,014,14,Number,65097,0-14 years old
10350,2019,015,15,Number,65420,15-24 years old
10353,2019,016,16,Number,65064,15-24 years old
10356,2019,017,17,Number,64792,15-24 years old
10359,2019,018,18,Number,63438,15-24 years old
10362,2019,019,19,Number,63380,15-24 years old
10365,2019,020,20,Number,63680,15-24 years old
10368,2019,021,21,Number,63445,15-24 years old
10371,2019,022,22,Number,60040,15-24 years old
10374,2019,023,23,Number,57980,15-24 years old
10377,2019,024,24,Number,56566,15-24 years old
10380,2019,025,25,Number,56486,25-44 years old
10383,2019,026,26,Number,56653,25-44 years old
10386,2019,027,27,Number,58016,25-44 years old
10389,2019,028,28,Number,60766,25-44 years old
10392,2019,029,29,Number,59607,25-44 years old
10395,2019,030,30,Number,64348,25-44 years old
10398,2019,031,31,Number,62451,25-44 years old
10401,2019,032,32,Number,65532,25-44 years old
10404,2019,033,33,Number,70436,25-44 years old
10407,2019,034,34,Number,70905,25-44 years old
10410,2019,035,35,Number,73953,25-44 years old
10413,2019,036,36,Number,77630,25-44 years old
10416,2019,037,37,Number,79666,25-44 years old
10419,2019,038,38,Number,83204,25-44 years old
10422,2019,039,39,Number,85113,25-44 years old
10425,2019,040,40,Number,79308,25-44 years old
10428,2019,041,41,Number,76632,25-44 years old
10431,2019,042,42,Number,75118,25-44 years old
10434,2019,043,43,Number,75661,25-44 years old
10437,2019,044,44,Number,74527,25-44 years old
10440,2019,045,45,Number,73622,45-64 years old
10443,2019,046,46,Number,72461,45-64 years old
10446,2019,047,47,Number,70341,45-64 years old
10449,2019,048,48,Number,70529,45-64 years old
10452,2019,049,49,Number,67418,45-64 years old
10455,2019,050,50,Number,64087,45-64 years old
10458,2019,051,51,Number,63323,45-64 years old
10461,2019,052,52,Number,62005,45-64 years old
10464,2019,053,53,Number,62062,45-64 years old
10467,2019,054,54,Number,61878,45-64 years old
10470,2019,055,55,Number,60270,45-64 years old
10473,2019,056,56,Number,58863,45-64 years old
10476,2019,057,57,Number,56978,45-64 years old
10479,2019,058,58,Number,57146,45-64 years old
10482,2019,059,59,Number,54840,45-64 years old
10485,2019,060,60,Number,54403,45-64 years old
10488,2019,061,61,Number,52136,45-64 years old
10491,2019,062,62,Number,50851,45-64 years old
10494,2019,063,63,Number,49549,45-64 years old
10497,2019,064,64,Number,48981,45-64 years old
10500,2019,065,65,Number,46903,65 and over
10503,2019,066,66,Number,46341,65 and over
10506,2019,067,67,Number,43950,65 and over
10509,2019,068,68,Number,42503,65 and over
10512,2019,069,69,Number,41944,65 and over
10515,2019,070,70,Number,40627,65 and over
10518,2019,071,71,Number,39350,65 and over
10521,2019,072,72,Number,37525,65 and over
10524,2019,073,73,Number,35789,65 and over
10527,2019,074,74,Number,33786,65 and over
10530,2019,075,75,Number,30367,65 and over
10533,2019,076,76,Number,27968,65 and over
10536,2019,077,77,Number,26685,65 and over
10539,2019,078,78,Number,22948,65 and over
10542,2019,079,79,Number,22322,65 and over
10545,2019,080,80,Number,20801,65 and over
10548,2019,081,81,Number,18763,65 and over
10551,2019,082,82,Number,17362,65 and over
10554,2019,083,83,Number,16190,65 and over
10557,2019,084,84,Number,15117,65 and over
10560,2019,085,85,Number,13110,65 and over
10563,2019,086,86,Number,10904,65 and over
10566,2019,087,87,Number,9501,65 and over
10569,2019,088,88,Number,8401,65 and over
10572,2019,089,89,Number,7368,65 and over
10575,2019,090,90,Number,6088,65 and over
10578,2019,091,91,Number,4824,65 and over
10581,2019,092,92,Number,3874,65 and over
10584,2019,093,93,Number,3030,65 and over
10587,2019,094,94,Number,2546,65 and over
10590,2019,095,95,Number,1316,65 and over
10593,2019,096,96,Number,870,65 and over
10596,2019,097,97,Number,714,65 and over
10599,2019,098,98,Number,509,65 and over
10602,2019,646,99,Number,1076,65 and over
10608,2020,200,0,Number,58167,0-14 years old
10611,2020,001,1,Number,59948,0-14 years old
10614,2020,002,2,Number,62394,0-14 years old
10617,2020,003,3,Number,64610,0-14 years old
10620,2020,004,4,Number,63589,0-14 years old
10623,2020,005,5,Number,65761,0-14 years old
10626,2020,006,6,Number,68312,0-14 years old
10629,2020,007,7,Number,69872,0-14 years old
10632,2020,008,8,Number,72428,0-14 years old
10635,2020,009,9,Number,73840,0-14 years old
10638,2020,010,10,Number,74085,0-14 years old
10641,2020,011,11,Number,73529,0-14 years old
10644,2020,012,12,Number,72540,0-14 years old
10647,2020,013,13,Number,68371,0-14 years old
10650,2020,014,14,Number,66205,0-14 years old
10653,2020,015,15,Number,66051,15-24 years old
10656,2020,016,16,Number,66505,15-24 years old
10659,2020,017,17,Number,65629,15-24 years old
10662,2020,018,18,Number,65313,15-24 years old
10665,2020,019,19,Number,63920,15-24 years old
10668,2020,020,20,Number,63509,15-24 years old
10671,2020,021,21,Number,63847,15-24 years old
10674,2020,022,22,Number,63739,15-24 years old
10677,2020,023,23,Number,60852,15-24 years old
10680,2020,024,24,Number,58558,15-24 years old
10683,2020,025,25,Number,58216,25-44 years old
10686,2020,026,26,Number,58152,25-44 years old
10689,2020,027,27,Number,58318,25-44 years old
10692,2020,028,28,Number,59654,25-44 years old
10695,2020,029,29,Number,62026,25-44 years old
10698,2020,030,30,Number,62000,25-44 years old
10701,2020,031,31,Number,65626,25-44 years old
10704,2020,032,32,Number,64306,25-44 years old
10707,2020,033,33,Number,67816,25-44 years old
10710,2020,034,34,Number,71837,25-44 years old
10713,2020,035,35,Number,71964,25-44 years old
10716,2020,036,36,Number,74825,25-44 years old
10719,2020,037,37,Number,78509,25-44 years old
10722,2020,038,38,Number,80545,25-44 years old
10725,2020,039,39,Number,83941,25-44 years old
10728,2020,040,40,Number,85493,25-44 years old
10731,2020,041,41,Number,79733,25-44 years old
10734,2020,042,42,Number,77082,25-44 years old
10737,2020,043,43,Number,75710,25-44 years old
10740,2020,044,44,Number,76262,25-44 years old
10743,2020,045,45,Number,74993,45-64 years old
10746,2020,046,46,Number,73690,45-64 years old
10749,2020,047,47,Number,72619,45-64 years old
10752,2020,048,48,Number,70635,45-64 years old
10755,2020,049,49,Number,70686,45-64 years old
10758,2020,050,50,Number,67655,45-64 years old
10761,2020,051,51,Number,64312,45-64 years old
10764,2020,052,52,Number,63491,45-64 years old
10767,2020,053,53,Number,62203,45-64 years old
10770,2020,054,54,Number,62262,45-64 years old
10773,2020,055,55,Number,62037,45-64 years old
10776,2020,056,56,Number,60441,45-64 years old
10779,2020,057,57,Number,59055,45-64 years old
10782,2020,058,58,Number,57145,45-64 years old
10785,2020,059,59,Number,57346,45-64 years old
10788,2020,060,60,Number,54796,45-64 years old
10791,2020,061,61,Number,54357,45-64 years old
10794,2020,062,62,Number,52086,45-64 years old
10797,2020,063,63,Number,50788,45-64 years old
10800,2020,064,64,Number,49574,45-64 years old
10803,2020,065,65,Number,48726,65 and over
10806,2020,066,66,Number,47147,65 and over
10809,2020,067,67,Number,46018,65 and over
10812,2020,068,68,Number,44637,65 and over
10815,2020,069,69,Number,42189,65 and over
10818,2020,070,70,Number,41504,65 and over
10821,2020,071,71,Number,39973,65 and over
10824,2020,072,72,Number,38803,65 and over
10827,2020,073,73,Number,36977,65 and over
10830,2020,074,74,Number,35253,65 and over
10833,2020,075,75,Number,33706,65 and over
10836,2020,076,76,Number,29527,65 and over
10839,2020,077,77,Number,27236,65 and over
10842,2020,078,78,Number,25735,65 and over
10845,2020,079,79,Number,22294,65 and over
10848,2020,080,80,Number,21353,65 and over
10851,2020,081,81,Number,19682,65 and over
10854,2020,082,82,Number,17828,65 and over
10857,2020,083,83,Number,16521,65 and over
10860,2020,084,84,Number,15409,65 and over
10863,2020,085,85,Number,13585,65 and over
10866,2020,086,86,Number,11430,65 and over
10869,2020,087,87,Number,9583,65 and over
10872,2020,088,88,Number,8342,65 and over
10875,2020,089,89,Number,7368,65 and over
10878,2020,090,90,Number,6250,65 and over
10881,2020,091,91,Number,5207,65 and over
10884,2020,092,92,Number,3962,65 and over
10887,2020,093,93,Number,2874,65 and over
10890,2020,094,94,Number,2461,65 and over
10893,2020,095,95,Number,1453,65 and over
10896,2020,096,96,Number,853,65 and over
10899,2020,097,97,Number,744,65 and over
10902,2020,098,98,Number,435,65 and over
10905,2020,646,99,Number,1050,65 and over
10911,2021,200,0,Number,55868,0-14 years old
10914,2021,001,1,Number,58014,0-14 years old
10917,2021,002,2,Number,59718,0-14 years old
10920,2021,003,3,Number,63108,0-14 years old
10923,2021,004,4,Number,64158,0-14 years old
10926,2021,005,5,Number,64283,0-14 years old
10929,2021,006,6,Number,66499,0-14 years old
10932,2021,007,7,Number,68850,0-14 years old
10935,2021,008,8,Number,70358,0-14 years old
10938,2021,009,9,Number,72714,0-14 years old
10941,2021,010,10,Number,74024,0-14 years old
10944,2021,011,11,Number,74585,0-14 years old
10947,2021,012,12,Number,73922,0-14 years old
10950,2021,013,13,Number,72698,0-14 years old
10953,2021,014,14,Number,68803,0-14 years old
10956,2021,015,15,Number,66694,15-24 years old
10959,2021,016,16,Number,66321,15-24 years old
10962,2021,017,17,Number,66372,15-24 years old
10965,2021,018,18,Number,65051,15-24 years old
10968,2021,019,19,Number,64527,15-24 years old
10971,2021,020,20,Number,62599,15-24 years old
10974,2021,021,21,Number,62619,15-24 years old
10977,2021,022,22,Number,63377,15-24 years old
10980,2021,023,23,Number,62826,15-24 years old
10983,2021,024,24,Number,59969,15-24 years old
10986,2021,025,25,Number,58326,25-44 years old
10989,2021,026,26,Number,58761,25-44 years old
10992,2021,027,27,Number,58383,25-44 years old
10995,2021,028,28,Number,58740,25-44 years old
10998,2021,029,29,Number,60633,25-44 years old
11001,2021,030,30,Number,63947,25-44 years old
11004,2021,031,31,Number,63850,25-44 years old
11007,2021,032,32,Number,66868,25-44 years old
11010,2021,033,33,Number,66406,25-44 years old
11013,2021,034,34,Number,69399,25-44 years old
11016,2021,035,35,Number,72631,25-44 years old
11019,2021,036,36,Number,73287,25-44 years old
11022,2021,037,37,Number,75855,25-44 years old
11025,2021,038,38,Number,79507,25-44 years old
11028,2021,039,39,Number,81727,25-44 years old
11031,2021,040,40,Number,84033,25-44 years old
11034,2021,041,41,Number,85923,25-44 years old
